timestamp,market_id,race_name,track,date,leg,selection,odds,stake,result,profit,balance
2025-08-22T18:42:01.065002+01:00,1.246885272,1m4f Hcap,Hamilton 22nd Aug,2025-08-22 17:35:00+00:00,1,Defiance,3.2,8.8,L,-8.8,211.2
2025-08-22T18:56:31.245844+01:00,1.246885242,1m4f Hcap,Goodwood 22nd Aug,2025-08-22 17:48:00+00:00,2,Sound Janet,4.4,13.2,L,-13.2,198.0
2025-08-22T19:17:30.939917+01:00,1.246887122,1m6f Hcap,Killarney 22nd Aug,2025-08-22 18:11:00+00:00,3,Kilmeaden,4.9,19.8,L,-19.8,178.2
2025-08-22T19:37:01.469331+01:00,1.246888788,3m2f Hcap Chs,Kilbeggan 22nd Aug,2025-08-22 18:25:00+00:00,4,Bal Kauto,2.44,32.67,W,47.0448,225.2448
2025-08-22T19:49:31.013839+01:00,1.246887127,1m6f Hcap,Killarney 22nd Aug,2025-08-22 18:41:00+00:00,1,Bear Creek,3.4,9.01,L,-9.01,216.2348
2025-08-22T20:03:31.261104+01:00,1.246888793,2m INHF,Kilbeggan 22nd Aug,2025-08-22 18:55:00+00:00,2,Sellerna Bay,2.34,14.87,L,-14.87,201.3648
2025-08-22T20:23:01.275157+01:00,1.246887132,2m1f Stks,Killarney 22nd Aug,2025-08-22 19:15:00+00:00,3,Enniskerry,2.98,24.54,L,-24.54,176.8248
2025-08-23T13:30:01.233918+01:00,1.246917797,2m Mdn Hrd,Killarney 23rd Aug,2025-08-23 12:20:00+00:00,1,Wholelotofbusiness,2.04,8.8,L,-8.8,211.2
2025-08-23T14:01:02.048109+01:00,1.246917728,7f Mdn,Curragh 23rd Aug,2025-08-23 12:42:00+00:00,2,Circle of Life,4.9,13.2,L,-13.2,198.0
2025-08-23T14:16:01.267173+01:00,1.246913771,7f Hcap,Goodwood 23rd Aug,2025-08-23 13:05:00+00:00,3,Mudbir,4.0,19.8,L,-19.8,178.2
2025-08-23T14:35:31.566630+01:00,1.246914732,1m6f Hcap,York 23rd Aug,2025-08-23 13:25:00+00:00,4,Many Men,6.2,29.7,L,-29.7,148.5
2025-08-23T14:48:31.442688+01:00,1.246913777,1m4f Hcap,Goodwood 23rd Aug,2025-08-23 13:40:00+00:00,5,Warda Jamila,3.6,44.55,L,-44.55,103.95
